state,approve,disapprove
AK,48,50
AL,59,39
AR,63,35
AZ,45,53
CA,29,68
CO,40,58
CT,36,61
DC,,
DE,36,61
FL,46,52
GA,45,52
HI,29,68
IA,46,51
ID,58,38
IL,35,62
IN,52,45
KS,51,47
KY,58,38
LA,55,42
MA,27,71
MD,28,70
ME,39,59
MI,42,56
MN,41,57
MO,55,43
MS,55,43
MT,49,50
NC,45,53
ND,63,35
NE,56,41
NH,37,59
NJ,34,63
NM,46,51
NV,40,56
NY,32,65
OH,48,50
OK,58,39
OR,36,61
PA,43,55
RI,34,64
SC,51,47
SD,60,37
TN,57,41
TX,48,49
UT,49,48
VA,40,57
VT,22,76
WA,34,63
WI,45,53
WV,66,31
WY,64,32