state,quarter,GDP_growth_qt
AK,2,-33.8
AL,2,-29.6
AR,2,-27.9
AZ,2,-25.3
CA,2,-31.5
CO,2,-28.1
CT,2,-31.1
DC,2,-20.4
DE,2,-21.9
FL,2,-30.1
GA,2,-27.7
HI,2,-42.2
IA,2,-28.2
ID,2,-32.4
IL,2,-29.7
IN,2,-33
KS,2,-30.3
KY,2,-34.5
LA,2,-31.4
MA,2,-31.6
MD,2,-27.7
ME,2,-34.4
MI,2,-37.6
MN,2,-31.3
MO,2,-32.1
MS,2,-32.9
MT,2,-30.8
NC,2,-30.5
ND,2,-27.6
NE ,2,-31
NH,2,-36.9
NJ,2,-35.6
NM,2,-28.3
NV,2,-42.2
NY,2,-36.3
OH,2,-33
OK,2,-31.1
OR,2,-31.9
PA,2,-34
RI,2,-32.4
SC,2,-32.6
SD,2,-28.8
TN,2,-40.4
TX,2,-29
UT,2,-22.4
VA,2,-27
VT,2,-38.2
WA,2,-25.5
WI,2,-32.6
WV,2,-29.6
WY,2,-32.5